observed_at,available_count,preparing_count,total_rooms,available_rooms
2026-09-08T13:21:23+09:00,3,3,50,215|416|515
2026-09-08T13:45:31+09:00,4,1,50,403|412|418|615
2026-09-08T14:18:01+09:00,0,4,50,
2026-09-08T14:45:08+09:00,2,2,50,302|518
2026-09-08T15:24:39+09:00,5,3,50,202|205|211|213|315
2026-09-08T15:49:56+09:00,2,4,50,215|312
2026-09-08T16:19:47+09:00,6,3,50,301|302|313|403|405|513
2026-09-08T16:46:40+09:00,4,1,50,301|513|517|615
2026-09-08T17:21:05+09:00,7,2,50,202|302|313|405|412|501|615
2026-09-08T17:46:58+09:00,6,3,50,202|302|405|417|503|612
2026-09-08T18:19:44+09:00,5,1,50,201|305|402|503|512
2026-09-08T18:34:09+09:00,4,3,50,201|402|503|512
2026-09-08T18:47:48+09:00,6,0,50,303|315|402|503|512|611
2026-09-08T18:58:16+09:00,3,1,50,303|315|402
2026-09-08T19:20:04+09:00,4,4,50,203|218|312|613
2026-09-08T19:34:05+09:00,5,2,50,203|205|318|513|517
2026-09-08T19:47:01+09:00,2,3,50,203|517
2026-09-08T19:56:38+09:00,2,4,50,205|517
2026-09-08T20:18:13+09:00,5,3,50,212|313|401|403|417
2026-09-08T20:31:56+09:00,5,3,50,313|401|403|412|612
2026-09-08T20:44:58+09:00,5,1,50,316|401|412|502|615
2026-09-08T20:56:49+09:00,4,4,50,412|502|503|615
2026-09-08T21:25:17+09:00,4,1,50,213|218|403|501
2026-09-08T21:50:48+09:00,4,3,50,218|302|405|502
2026-09-08T22:01:36+09:00,4,3,50,302|405|416|502
2026-09-08T22:21:20+09:00,5,3,50,202|302|312|405|502
2026-09-08T22:35:54+09:00,6,4,50,202|302|312|405|413|502
2026-09-08T22:50:06+09:00,5,3,50,302|312|401|413|502
2026-09-08T22:59:51+09:00,7,5,50,215|302|305|312|401|502|513
2026-09-08T23:21:16+09:00,8,1,50,212|215|302|312|401|412|502|512
2026-09-08T23:36:18+09:00,6,2,50,302|312|316|401|412|512
2026-09-08T23:50:41+09:00,6,2,50,302|316|402|412|505|512
2026-09-09T00:01:16+09:00,7,0,50,203|212|302|316|402|412|512
2026-09-09T00:20:14+09:00,6,0,50,211|305|316|402|417|513
2026-09-09T00:35:14+09:00,5,0,50,305|316|402|417|513
2026-09-09T00:49:24+09:00,5,0,50,302|313|401|417|516
2026-09-09T00:59:03+09:00,5,0,50,302|313|401|417|516
2026-09-09T01:20:23+09:00,6,0,50,213|302|316|403|417|505
2026-09-09T01:35:44+09:00,5,0,50,302|316|403|417|505
2026-09-09T01:48:08+09:00,5,0,50,302|316|403|417|505
2026-09-09T01:56:44+09:00,5,0,50,302|316|403|417|505
2026-09-09T02:17:20+09:00,6,0,50,302|312|403|411|505|613
2026-09-09T03:21:02+09:00,4,0,50,302|312|403|613
2026-09-09T04:16:36+09:00,3,0,50,205|518|613
2026-09-09T05:17:15+09:00,4,0,50,302|318|402|418
2026-09-09T06:15:38+09:00,3,0,50,301|318|511
